Source,Target,year_of_publication,Weight
Paulus de Castro,45.46,1488,5
"Marsus, Petrus",12.49,1484,5
Bartolus de Saxoferrato,12.34,1485,5
"Marsus, Petrus",41.89,1484,5
"Peraudi, Raimundus, commissary",Friedrich Creussner,1489,5
"Garlandia, Johannes de",DE,1486,5
Justinianus,IT,1485,5
Justinianus,12.34,1485,5
Antoninus Florentinus,IT,1483,5
Bartolus de Saxoferrato,45.46,1484,5
"Augustinus, Aurelius",about 1482],1482,5
Maximilian I,7.75,1486,5
"Andreae, Johannes",DE,1489,5
Maximilian I,FR,1486,5
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",3169071,1488,5
Alexander de Villa Dei,DE,1487,5
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",about 1487],1487,5
Justinianus,IT,1488,5
Justinianus,45.43,1489,5
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",[Rome,1488,5
Justinianus,6542283,1482,5
Alexander de Villa Dei,IT,1488,5
"Bonaventura, S",IT,1480,5
Justinianus,45.46,1482,5
Alexander de Villa Dei,52.25,1488,5
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",12.49,1481,5
"Terentius Afer, Publius",IT,1481,5
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",IT,1482,5
"Tartagnus, Alexander",45.46,1489,5
"Tartagnus, Alexander",IT,1482,5
"Pereriis, Guillermus de",12.49,1484,5
Andreas de Escobar,3169071,1485,5
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",Bartholomaeus Guldinbeck,1485,5
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",-4.03,1484,5
"Ubaldis, Baldus de",IT,1489,5
"Gerson, Johannes",50.94,1480,5
Maximilian I,after 12 Mar. 1486],1486,5
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",6361828,1484,5
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",[Rome,1484,5
Bartolus de Saxoferrato,9.19,1484,5
Andreas de Escobar,12.49,1485,5
